team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Algeria,Algeria,22,27.7,63.0,3,33,270,3.0,5,3,8,5,0,0,1,0,1.67,1.0,2.67,1.67,2.67,22,29.5,37.0,3,33,270,3.0,7,6,13,7,0,0,2,0,2.33,2.0,4.33,2.33,4.33,36,13,36.1,12.0,4.33,0.14,0.38,28,13,46.4,9.33,4.33,0.25,0.54,90,100,82,19,14,20,29,1.33,5,7,-2,-0.67,90,100,82,18,15,22,30,1.33,7,5,2,0.67,0,17,30,2,34,21,34,,,0,0,31,15,7,23,24,37,,,0,3,3,270,7,2.33,13,6,46.2,1,1,1,0,0.0,0,0,0,0,,3,3,270,5,1.67,13,8,61.5,1,1,1,1,33.3,0,0,0,0,
Argentina,Argentina,24,29.7,58.3,3,33,270,3.0,8,3,11,7,1,2,2,0,2.67,1.0,3.67,2.33,3.33,24,28.2,41.7,3,33,270,3.0,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,34,15,44.1,11.33,5.0,0.21,0.47,18,2,11.1,6.0,0.67,0.06,0.5,90,100,79,18,15,24,30,3.0,8,1,7,2.33,90,100,79,18,15,20,30,0.0,1,8,-7,-2.33,0,33,31,8,14,32,33,,,0,0,34,32,2,31,36,27,,,0,3,3,270,1,0.33,2,1,50.0,3,0,0,2,66.7,0,0,0,0,,3,3,270,8,2.67,14,6,42.9,0,0,3,0,0.0,2,1,0,1,0.0
Australia,Australia,20,25.6,40.7,3,33,270,3.0,2,1,3,2,0,0,5,0,0.67,0.33,1.0,0.67,1.0,20,27.5,59.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.0,0.33,0.33,0.33,26,11,42.3,8.67,3.67,0.08,0.18,47,12,25.5,15.67,4.0,0.02,0.08,90,100,81,20,13,23,30,1.33,2,2,0,0.0,90,100,81,18,15,15,28,1.33,2,2,0,0.0,0,34,24,1,46,20,27,,,1,0,25,33,4,47,33,32,,,0,3,3,270,2,0.67,13,11,84.6,1,1,1,2,66.7,0,0,0,0,,3,3,270,2,0.67,11,9,81.8,1,1,1,2,66.7,0,0,0,0,
Austria,Austria,20,29.3,48.0,3,33,270,3.0,5,4,9,4,1,1,4,0,1.67,1.33,3.0,1.33,2.67,20,28.9,52.0,3,33,270,3.0,6,4,10,6,0,1,2,0,2.0,1.33,3.33,2.0,3.33,27,8,29.6,9.0,2.67,0.15,0.5,35,14,40.0,11.67,4.67,0.17,0.43,90,100,78,18,15,27,30,1.33,6,6,0,0.0,90,100,78,19,14,15,30,1.33,6,6,0,0.0,0,32,21,6,46,34,21,,,0,0,23,27,4,24,23,24,,,1,3,3,270,6,2.0,13,7,53.8,1,1,1,0,0.0,1,0,0,1,,3,3,270,6,2.0,8,2,25.0,1,1,1,1,33.3,1,1,0,0,0.0
Belgium,Belgium,19,29.9,59.7,3,33,270,3.0,5,3,8,5,0,0,3,1,1.67,1.0,2.67,1.67,2.67,19,30.0,40.3,3,33,270,3.0,2,1,3,2,0,0,5,0,0.67,0.33,1.0,0.67,1.0,73,20,27.4,24.33,6.67,0.07,0.25,27,8,29.6,9.0,2.67,0.07,0.25,90,100,80,17,15,21,25,1.67,6,2,4,1.33,90,100,80,18,15,22,30,0.67,2,6,-4,-1.33,0,29,33,4,64,23,26,,,0,0,34,25,6,38,31,33,,,1,3,3,270,2,0.67,8,6,75.0,1,2,0,1,33.3,0,0,0,0,,3,3,270,6,2.0,21,15,71.4,0,2,1,1,33.3,0,0,0,0,
Bosnia–Herz,Bosnia and Herzegovina,22,27.0,44.0,3,33,270,3.0,4,3,7,4,0,0,6,1,1.33,1.0,2.33,1.33,2.33,22,29.7,56.0,3,33,270,3.0,6,4,10,5,1,1,4,0,2.0,1.33,3.33,1.67,3.0,27,11,40.7,9.0,3.67,0.15,0.36,35,14,40.0,11.67,4.67,0.14,0.36,90,100,80,17,15,21,29,1.33,5,6,-1,-0.33,90,100,80,18,15,20,27,1.33,6,5,1,0.33,0,47,31,2,44,26,25,,,0,0,31,45,7,63,12,34,,,1,3,3,270,6,2.0,12,6,50.0,1,1,1,0,0.0,1,1,0,0,0.0,3,3,270,5,1.67,12,7,58.3,1,1,1,0,0.0,0,0,0,0,
Brazil,Brazil,22,29.6,57.8,4,44,360,4.0,9,8,17,9,0,0,7,0,2.25,2.0,4.25,2.25,4.25,22,28.1,42.3,4,44,360,4.0,2,1,3,2,0,0,7,0,0.5,0.25,0.75,0.5,0.75,60,26,43.3,15.0,6.5,0.15,0.35,40,13,32.5,10.0,3.25,0.05,0.15,90,100,80,25,19,23,37,2.5,9,2,7,1.75,90,100,80,24,20,18,40,0.25,2,9,-7,-1.75,0,44,47,10,77,37,37,,,0,0,51,43,5,59,20,39,,,0,4,4,360,2,0.5,13,11,84.6,3,1,0,2,50.0,0,0,0,0,,4,4,360,9,2.25,24,15,62.5,0,1,3,0,0.0,0,0,0,0,
Cabo Verde,Cape Verde,21,31.3,37.3,3,33,270,3.0,2,0,2,2,0,0,4,0,0.67,0.0,0.67,0.67,0.67,21,28.5,62.7,3,33,270,3.0,2,1,3,2,0,0,6,0,0.67,0.33,1.0,0.67,1.0,33,7,21.2,11.0,2.33,0.06,0.29,51,12,23.5,17.0,4.0,0.04,0.17,90,100,79,18,15,24,28,1.0,2,2,0,0.0,90,100,79,21,12,22,31,1.0,2,2,0,0.0,0,15,35,5,29,42,37,,,0,0,37,15,5,75,24,35,,,0,3,3,270,2,0.67,12,10,83.3,0,3,0,2,66.7,0,0,0,0,,3,3,270,2,0.67,7,5,71.4,0,3,0,2,66.7,0,0,0,0,
Canada,Canada,21,27.4,56.8,4,44,360,4.0,8,3,11,8,0,0,7,0,2.0,0.75,2.75,2.0,2.75,21,27.8,43.3,4,44,360,4.0,3,3,6,3,0,0,5,2,0.75,0.75,1.5,0.75,1.5,70,28,40.0,17.5,7.0,0.11,0.29,22,8,36.4,5.5,2.0,0.14,0.38,90,100,79,24,20,24,36,1.75,9,3,6,1.5,90,100,79,25,18,21,40,1.0,3,9,-6,-1.5,0,48,59,5,117,31,41,,,0,0,59,48,3,27,42,44,,,1,4,4,360,3,0.75,8,5,62.5,2,1,1,2,50.0,0,0,0,0,,4,4,360,9,2.25,25,16,64.0,1,1,2,0,0.0,0,0,0,0,
Colombia,Colombia,20,30.6,60.3,3,33,270,3.0,4,4,8,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67,20,28.5,39.7,3,33,270,3.0,1,0,1,1,0,0,2,0,0.33,0.0,0.33,0.33,0.33,59,19,32.2,19.67,6.33,0.07,0.21,28,5,17.9,9.33,1.67,0.04,0.2,90,100,83,20,13,17,32,2.33,4,1,3,1.0,90,100,83,18,15,25,30,0.33,1,4,-3,-1.0,0,35,34,13,37,21,18,,,0,0,36,33,2,41,25,21,,,0,3,3,270,1,0.33,5,4,80.0,2,1,0,2,66.7,0,0,0,0,,3,3,270,4,1.33,19,15,78.9,0,1,2,1,33.3,0,0,0,0,
Congo DR,Congo DR,21,29.4,40.0,3,33,270,3.0,4,2,6,3,1,1,5,0,1.33,0.67,2.0,1.0,1.67,21,28.6,60.0,3,33,270,3.0,3,3,6,3,0,0,7,0,1.0,1.0,2.0,1.0,2.0,34,7,20.6,11.33,2.33,0.09,0.43,30,11,36.7,10.0,3.67,0.1,0.27,90,100,81,18,15,21,30,1.33,4,3,1,0.33,90,100,81,21,12,23,33,1.33,3,4,-1,-0.33,0,32,35,5,44,19,34,,,0,0,37,30,11,51,24,30,,,0,3,3,270,3,1.0,12,9,75.0,1,1,1,0,0.0,0,0,0,0,,3,3,270,4,1.33,7,3,42.9,1,1,1,1,33.3,1,1,0,0,0.0
Croatia,Croatia,19,29.4,53.0,3,33,270,3.0,5,5,10,5,0,0,2,0,1.67,1.67,3.33,1.67,3.33,19,28.2,47.0,3,33,270,3.0,5,4,9,4,1,1,2,0,1.67,1.33,3.0,1.33,2.67,24,11,45.8,8.0,3.67,0.21,0.45,36,13,36.1,12.0,4.33,0.11,0.31,90,100,81,19,14,21,31,2.0,5,5,0,0.0,90,100,81,19,14,17,30,1.0,5,5,0,0.0,0,33,41,4,45,16,21,,,0,0,42,33,3,54,21,19,,,0,3,3,270,5,1.67,13,8,61.5,2,0,1,1,33.3,1,1,0,0,0.0,3,3,270,5,1.67,11,6,54.5,1,0,2,0,0.0,0,0,0,0,
Curaçao,Curaçao,22,29.3,32.3,3,33,270,3.0,1,0,1,1,0,0,7,0,0.33,0.0,0.33,0.33,0.33,22,27.1,67.7,3,33,270,3.0,9,8,17,8,1,1,2,0,3.0,2.67,5.67,2.67,5.33,29,7,24.1,9.67,2.33,0.03,0.14,60,30,50.0,20.0,10.0,0.13,0.27,90,100,84,20,13,15,32,0.33,1,9,-8,-2.67,90,100,84,19,14,21,31,2.33,9,1,8,2.67,0,32,31,5,23,39,26,,,0,0,31,30,2,60,29,34,,,0,3,3,270,9,3.0,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0,3,3,270,1,0.33,7,6,85.7,2,1,0,2,66.7,0,0,0,0,
Czechia,Czech Republic,21,28.2,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,21,27.6,57.3,3,33,270,3.0,6,5,11,5,1,1,4,0,2.0,1.67,3.67,1.67,3.33,34,8,23.5,11.33,2.67,0.06,0.25,43,15,34.9,14.33,5.0,0.12,0.33,90,100,80,20,14,22,29,0.33,2,6,-4,-1.33,90,100,80,20,13,20,30,2.33,6,2,4,1.33,0,37,31,5,57,19,19,,,0,0,32,35,5,42,27,23,,,0,3,3,270,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0,
Côte d'Ivoire,Côte d'Ivoire,22,25.8,50.7,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.0,2.33,1.33,2.33,22,28.3,49.3,3,33,270,3.0,2,2,4,2,0,0,3,0,0.67,0.67,1.33,0.67,1.33,31,9,29.0,10.33,3.0,0.13,0.44,39,10,25.6,13.0,3.33,0.05,0.2,90,100,81,18,15,20,30,2.0,4,2,2,0.67,90,100,81,19,14,22,31,1.0,2,4,-2,-0.67,0,23,29,2,32,36,30,,,0,0,29,21,2,50,35,43,,,0,3,3,270,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,,3,3,270,4,1.33,9,5,55.6,1,0,2,0,0.0,0,0,0,0,
Ecuador,Ecuador,19,27.3,55.3,3,33,270,3.0,2,2,4,2,0,0,5,0,0.67,0.67,1.33,0.67,1.33,19,28.3,44.7,3,33,270,3.0,2,2,4,2,0,0,9,0,0.67,0.67,1.33,0.67,1.33,46,19,41.3,15.33,6.33,0.04,0.11,36,10,27.8,12.0,3.33,0.06,0.2,90,100,82,20,13,21,32,1.33,2,2,0,0.0,90,100,82,18,15,21,28,1.33,2,2,0,0.0,0,35,28,1,58,32,41,,,0,0,30,34,2,24,23,29,,,0,3,3,270,2,0.67,10,8,80.0,1,1,1,1,33.3,0,0,0,0,,3,3,270,2,0.67,19,17,89.5,1,1,1,2,66.7,0,0,0,0,
Egypt,Egypt,20,29.6,54.3,3,33,270,3.0,5,5,10,5,0,0,6,0,1.67,1.67,3.33,1.67,3.33,20,30.1,45.7,3,33,270,3.0,2,1,3,2,0,1,8,0,0.67,0.33,1.0,0.67,1.0,48,13,27.1,16.0,4.33,0.1,0.38,39,12,30.8,13.0,4.0,0.05,0.17,90,100,79,18,16,23,27,1.67,5,3,2,0.67,90,100,79,20,13,19,31,0.67,3,5,-2,-0.67,0,34,42,1,50,26,40,,,1,0,45,33,6,41,23,32,,,0,3,3,270,3,1.0,11,8,72.7,1,2,0,0,0.0,1,0,1,0,100.0,3,3,270,5,1.67,13,8,61.5,0,2,1,0,0.0,0,0,0,0,
England,England,20,26.8,66.0,3,33,270,3.0,6,5,11,5,1,1,2,0,2.0,1.67,3.67,1.67,3.33,20,28.4,34.0,3,33,270,3.0,2,2,4,2,0,0,3,0,0.67,0.67,1.33,0.67,1.33,58,20,34.5,19.33,6.67,0.09,0.25,25,8,32.0,8.33,2.67,0.08,0.25,90,100,82,18,15,17,28,2.33,6,2,4,1.33,90,100,82,20,14,18,31,0.33,2,6,-4,-1.33,0,37,52,6,68,13,31,,,0,0,52,35,7,27,21,35,,,0,3,3,270,2,0.67,7,5,71.4,2,1,0,2,66.7,0,0,0,0,,3,3,270,6,2.0,20,14,70.0,0,1,2,1,33.3,1,1,0,0,0.0
